feature_name	feature_importance
MP0043	0.27036106250592007
MP0008	0.17799100381829983
exRNA000005	0.17114569824927803
MP0159	0.11340363630273236
MP0076	0.11305000443688157
MP0050	0.10263451635781495
TAGLN	0.09983844400744174
MP0095	0.09556713726548757
exRNA000183	0.07411904334275084
A2M	0.07191916981590085
MP0151	0.0635126516294393
CFH	0.06022144458425406
MP0103	0.05779078211768502
exRNA000003	0.05294466402650563
MP0044	0.04696236274980624
MP0132	0.0423169753328309
MP0141	0.042074377862310795
MP0085	0.04114041051617917
MP0086	0.040699650802842
exRNA000059	0.037796256225233735
MP0018	0.037783678732390004
MP0128	0.0369010371350557
exRNA000408	0.03137838391788202
MP0009	0.030965644584212783
HBZ	0.030903615557946754
MP0118	0.03025525160021854
MP0042	0.02936631512608285
MP0156	0.029337885317427894
MP0073	0.028256812855946615
exRNA000091	0.027761176544033497
HBA1	0.025427933495623806
exRNA000191	0.024410134703441735
MP0093	0.023221357749367927
MP0080	0.020198608858601363
MP0077	0.018638993386482696
MP0074	0.017621938226562172
MP0136	0.01746699385142907
MP0183	0.016747710161369767
SHBG	0.015941158525882026
MP0142	0.015127443879592261
exRNA000086	0.014698643644071988
APOF	0.014186444014273525
MP0120	0.012684517853496988
exRNA000048	0.01185639509451253
IGFBP2	0.011393747612785273
MP0116	0.010493713593974795
IGLV1.51	0.010028952528712191
MP0010	0.009500233758756759
MP0135	0.009424825255826766
MP0112	0.00941360331476406
exRNA000035	0.008810199578656407
subgroup_SIDD	0.008638432509048385
C3	0.008488638286765979
MP0098	0.008242203141318585
VTN	0.008136142345744954
MP0034	0.00800793032439439
MP0026	0.007936215262655278
MP0122	0.007837826818189793
MP0024	0.007164364255570501
exRNA000053	0.0071432918679966715
MP0021	0.007039860763337214
APOE	0.006954413793226305
exRNA000066	0.006921296953616213
exRNA000394	0.006853183098628374
MP0038	0.006712680151265038
MP0015	0.006589526717226195
exRNA000099	0.006315108366060706
MP0092	0.005950604002201364
MP0146	0.005912640561229053
SERPINF2	0.00574915360316214
exRNA000118	0.005123955758261836
exRNA000097	0.0048849550651675205
MP0167	0.0046032812044023
exRNA000145	0.004426226301426855
exRNA000107	0.0044045189398697285
TUBA4A	0.004339623140083961
MP0119	0.004308333089554113
MP0138	0.00427212207701237
IGKV1.16	0.004228349694388988
MP0057	0.004193664494398667
subgroup_MARD	0.004089643279417741
MP0131	0.003949668771995738
exRNA000210	0.003726248071206033
APOD	0.0036931604185755445
MP0064	0.003679768652467441
MP0035	0.003530560996538939
MP0102	0.003480722643412507
NAP1L1	0.003322445953957037
exRNA000221	0.003208441469922621
MP0150	0.003172528263018656
MP0022	0.0030721733701830982
subgroup_SIRD	0.002833665391919818
MP0100	0.0027447164065337727
exRNA000172	0.002625553509090344
YWHAH	0.0026254987645161925
MFGE8	0.0026171697742934878
exRNA000110	0.002601788484254726
MP0087	0.0024940851679017273
MP0088	0.002289647032614119
MP0082	0.0020397173805853084
MP0101	0.001978062650254592
YWHAQ	0.001855540124732587
MP0154	0.0018248635028899481
METTL18	0.0014823876276017379
PRG4	0.0012566862451535608
MP0066	0.001079726997984651
MP0176	0.0007531511157802237
MP0075	0.0003293402439199163
subgroup_MOD	8.23342425031103e-05
