feature_name	feature_importance
MP0043	0.5270629185999365
MP0008	0.33649646713540526
exRNA000005	0.3172214632713322
MP0076	0.21844494339384585
MP0159	0.21497766913281208
MP0050	0.19262241334385788
TAGLN	0.17609813175371225
MP0095	0.17546773497676138
exRNA000183	0.13420021830543225
A2M	0.13075223083403065
MP0151	0.10248846765100257
CFH	0.1016027691936746
MP0103	0.08506979578523756
exRNA000003	0.08338617002108771
MP0044	0.08074552797503481
MP0132	0.08017717014769131
MP0141	0.07037302565592708
MP0086	0.06941829946434669
MP0128	0.06828977613721018
MP0018	0.058111467986285116
exRNA000059	0.05623179814738957
MP0085	0.05308631520504406
exRNA000408	0.04886294188867349
MP0042	0.047075884425990686
HBZ	0.045793178753062526
exRNA000191	0.039633051530157976
MP0118	0.03689697916334561
MP0073	0.03144247465810435
HBA1	0.030014142584424128
MP0077	0.021123755821356515
MP0142	0.01505220475965885
MP0183	0.010570929436212385
MP0010	0.004742057444022122
MP0138	0.004308076960719065
VTN	0.0042235334542264835
MP0120	0.0031574640812268217
exRNA000118	0.00035532705635587294
exRNA000394	0.0
exRNA000221	0.0
exRNA000210	0.0
subgroup_MARD	0.0
YWHAQ	0.0
exRNA000172	0.0
exRNA000145	0.0
exRNA000110	0.0
exRNA000107	0.0
exRNA000099	0.0
exRNA000097	0.0
subgroup_MOD	0.0
exRNA000091	0.0
subgroup_SIRD	0.0
TUBA4A	0.0
MP0009	0.0
SHBG	0.0
SERPINF2	0.0
PRG4	0.0
NAP1L1	0.0
MFGE8	0.0
METTL18	0.0
APOD	0.0
IGKV1.16	0.0
IGFBP2	0.0
YWHAH	0.0
exRNA000086	0.0
MP0015	0.0
C3	0.0
APOF	0.0
APOE	0.0
IGLV1.51	0.0
MP0122	0.0
MP0119	0.0
MP0116	0.0
MP0112	0.0
MP0102	0.0
MP0101	0.0
MP0100	0.0
MP0098	0.0
MP0057	0.0
subgroup_SIDD	0.0
MP0092	0.0
MP0088	0.0
MP0087	0.0
MP0064	0.0
MP0082	0.0
MP0080	0.0
MP0066	0.0
MP0075	0.0
MP0074	0.0
MP0093	0.0
exRNA000066	0.0
exRNA000053	0.0
exRNA000048	0.0
exRNA000035	0.0
MP0021	0.0
MP0022	0.0
MP0176	0.0
MP0167	0.0
MP0024	0.0
MP0038	0.0
MP0154	0.0
MP0026	0.0
MP0150	0.0
MP0146	0.0
MP0034	0.0
MP0136	0.0
MP0135	0.0
MP0035	0.0
MP0131	0.0
MP0156	0.0
