feature_name	feature_importance
MP0043	0.4372352699405757
exRNA000005	0.41640053373054137
MP0008	0.38080974436860054
TAGLN	0.3324961745010851
MP0119	0.23941688755298035
exRNA000035	0.22397203149078704
MP0076	0.20703714469714785
MP0183	0.19250661045531758
exRNA000003	0.1821312144159683
MP0095	0.18178843342506315
MP0050	0.18144779365266425
CFH	0.17996069386222413
exRNA000091	0.16983007764761207
APOE	0.15476347693762732
MP0141	0.14713838033385085
MP0151	0.14459737010855225
exRNA000059	0.1435764812704213
MP0086	0.1428949459232631
MP0103	0.14142567744917905
MP0128	0.1398167319629928
exRNA000053	0.13765243344136824
A2M	0.13695483780243786
exRNA000183	0.13619339349746026
MP0138	0.13305104879031104
exRNA000408	0.13292154933440475
MP0142	0.13074166748256302
MP0085	0.12896102435705709
MP0118	0.1248367927195222
exRNA000191	0.12057775703520254
MP0146	0.11583119530453519
MP0156	0.11470359436753716
MP0176	0.11452146609379658
MP0024	0.11179369622863779
MP0136	0.10839605089937347
MP0009	0.1075315842358276
exRNA000048	0.1047582356885802
MP0010	0.1006733297857253
exRNA000210	0.09710514953441328
subgroup_SIDD	0.0939483132274314
exRNA000097	0.09349681800893
MP0015	0.08753474437717239
MP0021	0.08647653018338584
MP0120	0.08492875926013718
HBA1	0.08408099507513829
MP0159	0.08360812391619854
MP0073	0.07517667925750088
MP0100	0.0743334030447903
HBZ	0.07318195973257043
YWHAQ	0.07314730040142096
MP0132	0.07089837910281081
MP0042	0.0696754585873751
MP0082	0.06965736761034658
MP0080	0.0672843260371915
MP0044	0.06443823545979577
MP0102	0.06128453748019925
MP0088	0.05817025109246508
subgroup_MARD	0.05814320883459063
MP0026	0.05792054303734564
MP0131	0.057657007853734815
MP0135	0.05540344735729143
subgroup_SIRD	0.0553624737982543
MP0066	0.050847429446901606
exRNA000221	0.04904519038627544
MFGE8	0.04768179810437069
MP0154	0.0473314357169118
MP0022	0.046189896969363806
MP0064	0.04458283658116342
SERPINF2	0.04443824162930616
exRNA000099	0.04345753959827947
MP0075	0.04250928952490935
MP0112	0.04235632416575831
MP0098	0.03791340306668775
IGFBP2	0.03732597329736783
MP0077	0.036787180470317066
MP0034	0.03670468319520005
SHBG	0.036531473274156054
NAP1L1	0.03652475309793854
exRNA000066	0.036119932913755634
IGLV1.51	0.035724159591059006
subgroup_MOD	0.03539490671080475
MP0150	0.03327689292559137
MP0167	0.0322057118613783
MP0057	0.03133976212680332
MP0035	0.029187931886337715
exRNA000086	0.028840083758722643
MP0018	0.027779300049686557
YWHAH	0.02774099956704506
PRG4	0.027343378928125397
exRNA000118	0.026439720884694484
MP0087	0.025410611022386443
VTN	0.022624967128929113
MP0122	0.02210904191933441
exRNA000107	0.02091375718852231
METTL18	0.020507511041008356
C3	0.01977419481185305
MP0074	0.01839073519593034
MP0092	0.01826263012777509
APOF	0.01645713842264749
exRNA000145	0.015387439609354901
exRNA000394	0.012958099092439277
MP0116	0.012934867148539607
APOD	0.011622352907779568
MP0101	0.010341606181257096
MP0038	0.010302816523327655
exRNA000172	0.007931977459753553
IGKV1.16	0.007642031851222968
TUBA4A	0.006212352336241358
exRNA000110	0.0025777655821946485
MP0093	0.0025157325775098365
