,lr_1,lr_2,lr_3,lr_4,lr_5,lr_6,lr_7,lr_8,lr_9,lr_10,rf_1,rf_2,rf_3,rf_4,rf_5,rf_6,rf_7,rf_8,rf_9,rf_10,svc_1,svc_2,svc_3,svc_4,svc_5,svc_6,svc_7,svc_8,svc_9,svc_10
MP0008,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MP0009,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MP0010,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False
MP0015,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False
MP0018,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,False,True,False,True,False
MP0021,False,False,True,False,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
MP0022,False,False,True,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MP0024,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,True,True,False,True,False,True,False
MP0026,False,False,True,False,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
MP0034,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MP0035,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MP0038,False,False,True,False,True,False,True,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
MP0042,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MP0043,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MP0044,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
MP0050,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False
